OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x
147128,856,11/14/2008,0,350,40.363508,-105.559933
147130,856,11/14/2008,0,335,40.363541,-105.559933
147151,856,11/14/2008,0,290,40.3635,-105.559933
147107,856,11/14/2008,0,145,40.363475,-105.559908
147150,856,11/14/2008,0,155,40.363366,-105.5599
147118,856,11/14/2008,0,5,40.363175,-105.559875
147152,856,11/14/2008,0,125,40.36345,-105.5598
147153,856,11/15/2008,0,295,40.36365,-105.5601
147180,856,11/15/2008,0,230,40.36345,-105.560083
147184,856,11/15/2008,0,210,40.363358,-105.560083
147169,856,11/15/2008,0,340,40.363525,-105.560075
147187,856,11/15/2008,0,210,40.36355,-105.560066
147165,856,11/15/2008,0,15,40.363491,-105.560058
147154,856,11/15/2008,0,305,40.363575,-105.56005
147163,856,11/15/2008,0,165,40.363525,-105.560041
147170,856,11/15/2008,0,175,40.363475,-105.560033
147168,856,11/15/2008,0,0,40.363483,-105.560025
147177,856,11/15/2008,0,5,40.363491,-105.560025
147179,856,11/15/2008,0,310,40.363483,-105.560025
147160,856,11/15/2008,0,165,40.363525,-105.560016
147173,856,11/15/2008,0,265,40.363533,-105.560016
147181,856,11/15/2008,0,300,40.363575,-105.560016
147186,856,11/15/2008,0,10,40.363558,-105.560016
147155,856,11/15/2008,0,125,40.363566,-105.560008
147164,856,11/15/2008,0,120,40.363491,-105.560008
147167,856,11/15/2008,0,40,40.363625,-105.56
147182,856,11/15/2008,0,55,40.363516,-105.56
147178,856,11/15/2008,0,275,40.363483,-105.559991
147188,856,11/15/2008,0,105,40.363566,-105.559991
147156,856,11/15/2008,0,200,40.363475,-105.559983
147158,856,11/15/2008,0,185,40.363558,-105.559983
147174,856,11/15/2008,0,340,40.363475,-105.559983
147189,856,11/15/2008,0,30,40.363633,-105.559983
147159,856,11/15/2008,0,130,40.363508,-105.559975
147172,856,11/15/2008,0,45,40.363591,-105.559975
147162,856,11/15/2008,0,330,40.363541,-105.559966
147192,856,11/15/2008,0,240,40.363491,-105.559966
147194,856,11/15/2008,0,310,40.3636,-105.559966
147195,856,11/15/2008,0,115,40.363541,-105.559958
147193,856,11/15/2008,0,10,40.363525,-105.55995
147175,856,11/15/2008,0,145,40.363425,-105.559925
147191,856,11/15/2008,0,75,40.363575,-105.559916
147190,856,11/15/2008,0,270,40.363641,-105.559908
147183,856,11/15/2008,0,35,40.3636,-105.5599
147196,856,11/15/2008,0,130,40.363525,-105.5599
147157,856,11/15/2008,0,260,40.363583,-105.559891
147171,856,11/15/2008,0,320,40.363525,-105.559891
147161,856,11/15/2008,0,335,40.36355,-105.559866
147197,856,11/15/2008,0,125,40.363375,-105.55985
147185,856,11/15/2008,0,275,40.363583,-105.559808
147198,856,11/15/2008,0,85,40.363433,-105.559808
147166,856,11/15/2008,0,205,40.363958,-105.559675
147199,856,11/15/2008,0,280,40.363233,-105.559566
147176,856,11/15/2008,0,115,40.363191,-105.559508
147200,856,11/15/2008,0,130,40.362866,-105.559033
147227,856,11/16/2008,0,280,40.363525,-105.56015
147232,856,11/16/2008,0,270,40.363641,-105.56015
147248,856,11/16/2008,0,300,40.363541,-105.560133
147237,856,11/16/2008,0,170,40.363508,-105.560116
147244,856,11/16/2008,0,70,40.36355,-105.560108
147246,856,11/16/2008,0,305,40.36355,-105.5601
147213,856,11/16/2008,0,155,40.36335,-105.560075
147209,856,11/16/2008,0,35,40.363458,-105.560066
147221,856,11/16/2008,0,20,40.36345,-105.560066
147235,856,11/16/2008,0,140,40.363566,-105.560058
147203,856,11/16/2008,0,345,40.363525,-105.560041
147222,856,11/16/2008,0,110,40.363566,-105.560041
147233,856,11/16/2008,0,235,40.36355,-105.560033
147230,856,11/16/2008,0,270,40.363633,-105.560025
147234,856,11/16/2008,0,165,40.363558,-105.560025
147236,856,11/16/2008,0,285,40.363466,-105.560025
147238,856,11/16/2008,0,220,40.363508,-105.560025
147208,856,11/16/2008,0,0,40.363558,-105.560016
147216,856,11/16/2008,0,355,40.363375,-105.560016
147229,856,11/16/2008,0,290,40.363458,-105.560016
147214,856,11/16/2008,0,0,40.363633,-105.560008
147215,856,11/16/2008,0,40,40.363625,-105.560008
147204,856,11/16/2008,0,190,40.363508,-105.56
147225,856,11/16/2008,0,295,40.363483,-105.56
147228,856,11/16/2008,0,310,40.363583,-105.56
147239,856,11/16/2008,0,0,40.363533,-105.56
147218,856,11/16/2008,0,180,40.363675,-105.559991
147201,856,11/16/2008,0,340,40.363566,-105.559983
147240,856,11/16/2008,0,355,40.363608,-105.559983
147206,856,11/16/2008,0,35,40.363475,-105.559975
147212,856,11/16/2008,0,5,40.363516,-105.559975
147217,856,11/16/2008,0,190,40.36345,-105.559975
147205,856,11/16/2008,0,85,40.363508,-105.559966
147231,856,11/16/2008,0,25,40.363625,-105.559966
147245,856,11/16/2008,0,150,40.3635,-105.559966
147207,856,11/16/2008,0,145,40.363541,-105.559958
147211,856,11/16/2008,0,210,40.363591,-105.559958
147241,856,11/16/2008,0,230,40.363591,-105.559958
147247,856,11/16/2008,0,295,40.363466,-105.559958
147243,856,11/16/2008,0,130,40.363516,-105.559941
147219,856,11/16/2008,0,290,40.363575,-105.559925
147220,856,11/16/2008,0,130,40.363516,-105.559925
147242,856,11/16/2008,0,335,40.363575,-105.559925
147223,856,11/16/2008,0,125,40.36345,-105.559916
147202,856,11/16/2008,0,280,40.36345,-105.559908
147210,856,11/16/2008,0,310,40.363525,-105.5599
147226,856,11/16/2008,0,255,40.363566,-105.55985
147224,856,11/16/2008,0,110,40.363325,-105.5596
147278,856,11/17/2008,0,235,40.3635,-105.5603
147271,856,11/17/2008,0,335,40.363675,-105.560233
147276,856,11/17/2008,0,315,40.363508,-105.560125
147256,856,11/17/2008,0,205,40.363508,-105.560091
147287,856,11/17/2008,0,110,40.3634,-105.56005
147292,856,11/17/2008,0,240,40.363516,-105.560041
147262,856,11/17/2008,0,10,40.36355,-105.560033
147263,856,11/17/2008,0,25,40.363616,-105.560033
147270,856,11/17/2008,0,330,40.363483,-105.560033
147266,856,11/17/2008,0,180,40.363558,-105.560025
147258,856,11/17/2008,0,335,40.363366,-105.560016
147257,856,11/17/2008,0,335,40.363508,-105.560008
147286,856,11/17/2008,0,60,40.363558,-105.560008
147295,856,11/17/2008,0,145,40.36355,-105.560008
147275,856,11/17/2008,0,90,40.363558,-105.56
147290,856,11/17/2008,0,175,40.363441,-105.56
147265,856,11/17/2008,0,170,40.363533,-105.559991
147274,856,11/17/2008,0,255,40.3635,-105.559991
147289,856,11/17/2008,0,190,40.363341,-105.559991
147291,856,11/17/2008,0,125,40.3635,-105.559991
147259,856,11/17/2008,0,130,40.36355,-105.559983
147279,856,11/17/2008,0,215,40.363433,-105.559983
147272,856,11/17/2008,0,155,40.363566,-105.559975
147284,856,11/17/2008,0,60,40.363516,-105.559975
147251,856,11/17/2008,0,15,40.363533,-105.559966
147264,856,11/17/2008,0,0,40.363591,-105.559966
147273,856,11/17/2008,0,5,40.36355,-105.559966
147285,856,11/17/2008,0,200,40.3636,-105.559966
147253,856,11/17/2008,0,135,40.363541,-105.559958
147277,856,11/17/2008,0,45,40.363633,-105.559958
147260,856,11/17/2008,0,195,40.363466,-105.55995
147288,856,11/17/2008,0,160,40.36335,-105.55995
147252,856,11/17/2008,0,105,40.363633,-105.559941
147255,856,11/17/2008,0,145,40.3635,-105.559941
147267,856,11/17/2008,0,190,40.363608,-105.559941
147280,856,11/17/2008,0,220,40.363525,-105.559941
147268,856,11/17/2008,0,305,40.363516,-105.559925
147296,856,11/17/2008,0,180,40.363541,-105.559925
147269,856,11/17/2008,0,55,40.363508,-105.559908
147254,856,11/17/2008,0,15,40.3635,-105.5599
147281,856,11/17/2008,0,55,40.363575,-105.5599
147250,856,11/17/2008,0,340,40.363425,-105.559891
147261,856,11/17/2008,0,55,40.363825,-105.559891
147282,856,11/17/2008,0,300,40.363516,-105.559891
147283,856,11/17/2008,0,90,40.363525,-105.559891
147294,856,11/17/2008,0,290,40.363466,-105.559883
147249,856,11/17/2008,0,340,40.363175,-105.559816
147293,856,11/17/2008,0,295,40.363183,-105.559608
147312,856,11/18/2008,0,330,40.363733,-105.560325
147327,856,11/18/2008,0,25,40.363391,-105.560258
147303,856,11/18/2008,0,265,40.363608,-105.560216
147328,856,11/18/2008,0,50,40.363358,-105.560175
147317,856,11/18/2008,0,100,40.363575,-105.56015
147323,856,11/18/2008,0,280,40.363375,-105.560141
147311,856,11/18/2008,0,235,40.363558,-105.560133
147333,856,11/18/2008,0,5,40.363391,-105.560091
147326,856,11/18/2008,0,145,40.3635,-105.560075
147318,856,11/18/2008,0,320,40.363558,-105.56005
147329,856,11/18/2008,0,210,40.363466,-105.56005
147332,856,11/18/2008,0,170,40.363516,-105.56005
147301,856,11/18/2008,0,260,40.363508,-105.560041
147340,856,11/18/2008,0,15,40.363583,-105.560041
147299,856,11/18/2008,0,165,40.363541,-105.560033
147310,856,11/18/2008,0,225,40.363566,-105.560033
147298,856,11/18/2008,0,335,40.363483,-105.560025
147302,856,11/18/2008,0,175,40.363583,-105.560016
147304,856,11/18/2008,0,10,40.363483,-105.560016
147307,856,11/18/2008,0,45,40.363533,-105.559983
147322,856,11/18/2008,0,310,40.363558,-105.559983
147330,856,11/18/2008,0,165,40.363483,-105.559983
147335,856,11/18/2008,0,175,40.363491,-105.559983
147309,856,11/18/2008,0,125,40.363591,-105.559975
147321,856,11/18/2008,0,245,40.36355,-105.559975
147314,856,11/18/2008,0,0,40.363625,-105.559966
147334,856,11/18/2008,0,225,40.363558,-105.559966
147337,856,11/18/2008,0,140,40.363366,-105.559966
147339,856,11/18/2008,0,335,40.363608,-105.559966
147306,856,11/18/2008,0,155,40.363558,-105.559958
147342,856,11/18/2008,0,350,40.363541,-105.559958
147297,856,11/18/2008,0,310,40.363541,-105.55995
147338,856,11/18/2008,0,150,40.363583,-105.55995
147300,856,11/18/2008,0,80,40.363483,-105.559941
147308,856,11/18/2008,0,210,40.363466,-105.559941
147305,856,11/18/2008,0,320,40.363566,-105.559933
147319,856,11/18/2008,0,310,40.36355,-105.559933
147341,856,11/18/2008,0,255,40.363483,-105.559933
147315,856,11/18/2008,0,290,40.363466,-105.559925
147343,856,11/18/2008,0,335,40.363383,-105.559925
147313,856,11/18/2008,0,200,40.363483,-105.559916
147324,856,11/18/2008,0,205,40.363758,-105.5599
147325,856,11/18/2008,0,35,40.363558,-105.5599
147316,856,11/18/2008,0,245,40.363475,-105.559891
147344,856,11/18/2008,0,125,40.363441,-105.559891
147336,856,11/18/2008,0,125,40.363441,-105.559816
147331,856,11/18/2008,0,130,40.363541,-105.559775
147320,856,11/18/2008,0,120,40.3634,-105.55975
147374,856,11/19/2008,0,215,40.362883,-105.560491
147388,856,11/19/2008,0,55,40.363258,-105.560466
147377,856,11/19/2008,0,170,40.363016,-105.560416
147376,856,11/19/2008,0,220,40.363083,-105.560333
147373,856,11/19/2008,0,20,40.363358,-105.560166
147378,856,11/19/2008,0,10,40.363566,-105.560141
147362,856,11/19/2008,0,330,40.363775,-105.560125
147353,856,11/19/2008,0,20,40.363425,-105.560108
147385,856,11/19/2008,0,155,40.363675,-105.5601
147380,856,11/19/2008,0,345,40.363508,-105.560091
147389,856,11/19/2008,0,220,40.363491,-105.560091
147392,856,11/19/2008,0,270,40.363625,-105.560075
147371,856,11/19/2008,0,25,40.363483,-105.560066
147348,856,11/19/2008,0,60,40.363516,-105.560058
147349,856,11/19/2008,0,15,40.363758,-105.560058
147369,856,11/19/2008,0,290,40.363566,-105.560058
147386,856,11/19/2008,0,190,40.364166,-105.560058
147381,856,11/19/2008,0,55,40.363566,-105.56005
147365,856,11/19/2008,0,80,40.3635,-105.560041
147356,856,11/19/2008,0,25,40.363741,-105.560033
147372,856,11/19/2008,0,15,40.363291,-105.560033
147379,856,11/19/2008,0,355,40.363475,-105.560033
147384,856,11/19/2008,0,50,40.363608,-105.560033
147357,856,11/19/2008,0,155,40.363766,-105.560016
147368,856,11/19/2008,0,115,40.36355,-105.560008
147350,856,11/19/2008,0,345,40.3634,-105.56
147354,856,11/19/2008,0,145,40.363191,-105.56
147359,856,11/19/2008,0,15,40.363508,-105.56
147382,856,11/19/2008,0,50,40.363616,-105.56
147391,856,11/19/2008,0,185,40.363608,-105.56
147366,856,11/19/2008,0,330,40.363516,-105.559983
147346,856,11/19/2008,0,235,40.36355,-105.559975
147364,856,11/19/2008,0,300,40.363533,-105.559966
147360,856,11/19/2008,0,355,40.3635,-105.55995
147370,856,11/19/2008,0,265,40.363508,-105.559941
147358,856,11/19/2008,0,180,40.363558,-105.559933
147361,856,11/19/2008,0,350,40.363525,-105.559933
147355,856,11/19/2008,0,45,40.3635,-105.559925
147387,856,11/19/2008,0,235,40.363525,-105.559925
147363,856,11/19/2008,0,335,40.363425,-105.559916
147347,856,11/19/2008,0,305,40.36355,-105.559891
147383,856,11/19/2008,0,0,40.363575,-105.559866
147345,856,11/19/2008,0,325,40.363391,-105.559816
147351,856,11/19/2008,0,215,40.363575,-105.559791
147367,856,11/19/2008,0,100,40.363308,-105.559758
147390,856,11/19/2008,0,55,40.364,-105.559125
147375,856,11/19/2008,0,50,40.364275,-105.558991
147352,856,11/19/2008,3.5,205,40.365941,-105.558633
147436,856,11/20/2008,0,310,40.363766,-105.560275
147426,856,11/20/2008,0,335,40.363916,-105.560241
147398,856,11/20/2008,0,205,40.36325,-105.560233
147410,856,11/20/2008,0,305,40.363691,-105.560233
147437,856,11/20/2008,0,320,40.36365,-105.5602
147430,856,11/20/2008,0,165,40.363616,-105.560166
147424,856,11/20/2008,0,60,40.363633,-105.560141
147434,856,11/20/2008,0,215,40.363516,-105.560141
147427,856,11/20/2008,0,160,40.363775,-105.560133
147438,856,11/20/2008,0,125,40.363616,-105.560133
147393,856,11/20/2008,0,280,40.3636,-105.560125
147400,856,11/20/2008,0,5,40.363583,-105.560125
147431,856,11/20/2008,0,205,40.363583,-105.560108
147414,856,11/20/2008,0,185,40.363783,-105.5601
147419,856,11/20/2008,0,130,40.36355,-105.560091
147395,856,11/20/2008,0,265,40.363416,-105.560083
147412,856,11/20/2008,0,90,40.363458,-105.560058
147423,856,11/20/2008,0,345,40.363608,-105.560058
147429,856,11/20/2008,0,30,40.363358,-105.560058
147428,856,11/20/2008,0,60,40.363441,-105.56005
147439,856,11/20/2008,0,280,40.36355,-105.56005
147401,856,11/20/2008,0,15,40.363516,-105.560041
147405,856,11/20/2008,0,165,40.363483,-105.560025
147408,856,11/20/2008,0,195,40.363541,-105.560008
147418,856,11/20/2008,0,340,40.363475,-105.560008
147404,856,11/20/2008,0,160,40.363775,-105.56
147407,856,11/20/2008,0,155,40.363483,-105.56
147411,856,11/20/2008,0,335,40.363508,-105.56
147420,856,11/20/2008,0,145,40.363516,-105.56
147432,856,11/20/2008,0,20,40.363483,-105.56
147422,856,11/20/2008,0,260,40.363558,-105.559991
147425,856,11/20/2008,0,330,40.363525,-105.559991
147417,856,11/20/2008,0,325,40.363508,-105.559983
147433,856,11/20/2008,0,110,40.363508,-105.559983
147396,856,11/20/2008,0,270,40.36355,-105.559966
147435,856,11/20/2008,0,240,40.363483,-105.559966
147394,856,11/20/2008,0,305,40.363575,-105.559958
147399,856,11/20/2008,0,35,40.363516,-105.559958
147402,856,11/20/2008,0,0,40.363475,-105.55995
147409,856,11/20/2008,0,340,40.363416,-105.55995
147413,856,11/20/2008,0,175,40.363533,-105.559941
147403,856,11/20/2008,0,70,40.363491,-105.559916
147406,856,11/20/2008,0,10,40.3635,-105.559908
147415,856,11/20/2008,0,260,40.36355,-105.559908
147416,856,11/20/2008,0,315,40.3636,-105.559883
147397,856,11/20/2008,0,90,40.363608,-105.559875
147421,856,11/20/2008,0,155,40.3631,-105.559691
147477,856,11/21/2008,0,300,40.3638,-105.56035
147476,856,11/21/2008,0,350,40.363308,-105.5603
147480,856,11/21/2008,0,70,40.36355,-105.5602
147486,856,11/21/2008,0,70,40.363508,-105.560191
147473,856,11/21/2008,0,295,40.363625,-105.560116
147458,856,11/21/2008,0,280,40.363658,-105.560108
147479,856,11/21/2008,0,185,40.363491,-105.5601
147481,856,11/21/2008,0,305,40.363625,-105.560083
147485,856,11/21/2008,0,290,40.363475,-105.560075
147478,856,11/21/2008,0,0,40.363541,-105.560066
147452,856,11/21/2008,0,145,40.363575,-105.560058
147470,856,11/21/2008,0,215,40.363341,-105.560058
147460,856,11/21/2008,0,260,40.363483,-105.560041
147446,856,11/21/2008,0,75,40.363516,-105.560025
147461,856,11/21/2008,0,45,40.363575,-105.560025
147463,856,11/21/2008,0,85,40.3635,-105.560016
147468,856,11/21/2008,0,215,40.363525,-105.560016
147469,856,11/21/2008,0,155,40.363425,-105.560016
147464,856,11/21/2008,0,220,40.36355,-105.560008
147445,856,11/21/2008,0,210,40.363508,-105.56
147447,856,11/21/2008,0,170,40.363558,-105.56
147465,856,11/21/2008,0,295,40.363525,-105.56
147482,856,11/21/2008,0,185,40.363591,-105.56
