GHCN ID,Station Name,County,State,Elevation,Latitude,Longitude,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb
US1CODN0269,DENVER 6.7 NE,DENVER,Colorado,5248,39.8,-104.88,M,M,M,M,M,M,M,M,M,M,M,0.1,0.1,1.3,M,M,M,1.7,M,M,M,M,M,M,11,3,M,M
US1COBO0018,LAFAYETTE 0.2 S,BOULDER,Colorado,5248,39.99,-105.1,M,M,M,M,M,M,M,M,M,T,T,0.6,T,1.4,M,M,M,4.3,M,M,1,M,M,M,8,M,M,M
US1COLR0252,BELLVUE 1 NW,LARIMER,Colorado,5245,40.63,-105.18,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,T,T,T,4,M,M,M
US1COAD0100,THORNTON 2.1 N,ADAMS,Colorado,5243,39.92,-104.96,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,1.1,1,1,0.5,2,1.5,T,0.5,T,0,0,11.5,6.5,4.5,3.5
US1COBR0032,BROOMFIELD 3.2 NNE,BROOMFIELD,Colorado,5230,39.99,-105.05,T,0,0,0,0,0,0,T,T,T,T,0.5,T,1.5,1.5,1,T,3,1.5,T,0.5,T,0,0,7,5,2.5,1.5
USC00058839,WATERDALE,LARIMER,Colorado,5229,40.43,-105.21,0,0,0,0,0,0,M,0,M,0,0,0,0,2,2,0,1,6,4,3,1,0,0,0,M,2,1,0
USC00052223,DENVER WATER DEPARTMENT,DENVER,Colorado,5227,39.73,-105.01,0,0,0,0,0,0,0,0,0,T,0,T,0,1,1,0,0,2,1,0,1,0,0,0,8,2,2,1
US1COLR0284,FCL 3.0 W,LARIMER,Colorado,5219,40.59,-105.15,M,M,M,M,M,M,M,M,T,T,T,0.3,0.5,2.5,2.5,M,1,6,M,M,0.5,M,M,M,4,M,M,M
US1COLR0952,WELLINGTON 0.4 NW,LARIMER,Colorado,5219,40.71,-105.01,M,M,M,M,M,M,M,M,M,M,M,M,0.5,2.5,2,2,2.5,5.5,4,3,1.5,1,T,M,M,T,M,M
US1COWE0409,NUNN 6.5 NE,WELD,Colorado,5217,40.77,-104.69,0,0,0,0,0,0,0,0,0,0,0,T,T,1,1,1,1.5,1.5,1.5,1.5,0.5,T,T,0,0.5,T,0,0
US1COGF0090,BATTLEMENT MESA 0.9 WNW,GARFIELD,Colorado,5212,39.45,-108.04,3.5,3,2.5,1.5,1,1,1,0.5,M,0.5,M,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COBO0538,BOULDER 3.1 NE,BOULDER,Colorado,5204,40.06,-105.21,0,0,0,0,0,0,0,0,0,T,T,0.4,0.4,1.5,1.2,1,0,6.7,3.5,1.3,0.1,0,M,0,7.5,4,1.3,1.4
US1COLR1116,FORT COLLINS 8.6 N,LARIMER,Colorado,5204,40.68,-105.05,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,2.2,M,M,M,M,M,M,M,M,M,M,M,M
US1COBO0469,NIWOT 2.2 SW,BOULDER,Colorado,5203,40.07,-105.19,M,M,M,M,M,M,M,M,M,M,M,M,0.3,1.3,M,M,M,M,2.5,M,M,M,M,M,M,M,M,M
US1COWE0345,NUNN 1.2 ENE,WELD,Colorado,5201,40.71,-104.76,0,0,0,0,0,0,0,0,0,0,M,0,1,3.5,3,2.5,3,3.5,3,1,0.5,0,0,M,1,0,0,0
US1COLR1008,WELLINGTON 0.8 SW,LARIMER,Colorado,5194,40.7,-105.01,M,M,M,M,M,M,M,M,M,M,M,M,M,2.2,2.2,2,2,5.5,3.5,2.5,1.5,T,T,T,M,T,T,T
USC00054538,KIM 15 NNE,LAS ANIMAS,Colorado,5189,37.45,-103.32,0,0,0,1,0,0,0,0,0,0,0,T,0,2,2,2,1,1,2,1,1,0,0,0,0,0,0,0
US1COBO0076,NIWOT 1.8 SSW,BOULDER,Colorado,5189,40.08,-105.18,T,T,0,0,0,0,0,T,T,T,T,T,T,1,1,1,0.5,6.5,5,3,1,0.5,T,T,9.5,7.5,4.5,3
US1COLR0922,BERTHOUD 4.4 WSW,LARIMER,Colorado,5180,40.28,-105.16,0,0,0,0,0,0,0,0,T,0,0,T,T,1.5,1.5,1.5,1,4.5,2.5,T,0,0,0,0,4.5,3,2,0.5
USC00055934,NEW RAYMER 21 N,WELD,Colorado,5179,40.93,-103.87,0,0,0,0,0,1,0,0,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COLR0035,BERTHOUD 5.2 SW,LARIMER,Colorado,5170,40.26,-105.16,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M,M,M
